车辆编号,产品,车型,客户数,配送量_kg,额定载重_kg,装载率,发车时刻,回场时刻,总里程_km,负载折算续航消耗_km,高峰时段里程_km,固定成本_元,运输成本_元,制冷成本_元,时间窗惩罚_元,货损成本_元,总成本_元,访问顺序
2,姜蒜,小型4.2m冷藏车,6,1450.0,1500.0,0.9666666666666668,03:45,09:34,124.06976222941805,134.0832803136941,47.91666666666666,200.0,310.1744055735452,52.47419947375134,0.3127713011852127,43.46452992000008,606.4259062684818,配送中心0→姜蒜-09→姜蒜-04→姜蒜-01→姜蒜-20→姜蒜-05→姜蒜-23→配送中心0
3,姜蒜,小型4.2m冷藏车,5,1480.0,1500.0,0.9866666666666668,03:50,09:23,110.0484511615266,117.19263931887971,45.83333333333333,200.0,275.1211279038165,49.83277865933452,2.5,44.27368960000008,571.7275961631511,配送中心0→姜蒜-25→姜蒜-15→姜蒜-08→姜蒜-03→姜蒜-27→配送中心0
4,姜蒜,小型4.2m冷藏车,3,1488.0,1500.0,0.992,03:20,07:51,90.1092169161541,98.82632636037307,41.66666666666665,200.0,225.27304229038523,40.69720637494652,2.5,44.51336960000008,512.9836182653318,配送中心0→姜蒜-06→姜蒜-22→姜蒜-28→配送中心0
5,姜蒜,小型4.2m冷藏车,4,1438.0,1500.0,0.9586666666666668,03:20,08:38,114.15543642756974,123.32566905534978,40.92376782713886,200.0,285.3885910689244,47.80914397215211,0.0,42.965995520000085,576.1637305610766,配送中心0→姜蒜-18→姜蒜-26→姜蒜-24→姜蒜-14→配送中心0
6,姜蒜,小型4.2m冷藏车,7,1493.0,1500.0,0.9953333333333332,03:25,11:00,188.94634817872375,200.0733056545996,40.593724543764345,200.0,472.3658704468095,67.82679886730877,0.1621904874309478,44.733875200000085,785.0887350015493,配送中心0→姜蒜-19→姜蒜-07→姜蒜-13→姜蒜-02→姜蒜-10→姜蒜-29→姜蒜-16→配送中心0
7,姜蒜,小型4.2m冷藏车,5,1482.0,1500.0,0.988,03:20,08:21,102.10919605237162,112.89916508706668,41.66666666666666,200.0,255.27299013092903,45.3440374944623,1.6977111680636816,44.29286400000008,546.607602793455,配送中心0→姜蒜-30→姜蒜-11→姜蒜-17→姜蒜-21→姜蒜-12→配送中心0
