车辆编号,产品,车型,客户数,配送量_kg,额定载重_kg,装载率,发车时刻,回场时刻,总里程_km,负载折算续航消耗_km,固定成本_元,运输成本_元,制冷成本_元,时间窗惩罚_元,货损成本_元,总成本_元,访问顺序
2,鲜面条,小型4.2m冷藏车,4,385.0,1500.0,0.2566666666666666,03:25,08:12,91.17168745521592,93.0139889597607,200.0,227.92921863803983,42.84027240293168,9.275761765536693,12.918752000000024,492.9640048065082,配送中心0→客户06→客户25→客户29→客户28→配送中心0
4,鲜面条,小型4.2m冷藏车,5,465.0,1500.0,0.31,03:20,08:03,99.00763289559951,101.98582560977763,200.0,247.5190822389988,42.82354573460873,0.9477915807005104,15.603168000000029,506.8935875543081,配送中心0→客户09→客户04→客户07→客户14→客户02→配送中心0
5,鲜面条,小型4.2m冷藏车,5,630.0,1500.0,0.42,02:55,08:00,103.38791622137904,107.89899832705522,200.0,258.46979055344764,46.15342659398023,9.816422321488574,21.13977600000004,535.5794154689165,配送中心0→客户11→客户30→客户10→客户19→客户12→配送中心0
6,鲜面条,小型4.2m冷藏车,5,475.0,1500.0,0.3166666666666666,02:45,08:33,134.47310249744248,138.590636042837,200.0,336.1827562436062,51.98534755231282,6.828281547788249,15.93872000000003,610.9351053437073,配送中心0→客户21→客户26→客户18→客户17→客户24→配送中心0
7,鲜面条,小型4.2m冷藏车,5,335.0,1500.0,0.2233333333333333,03:30,07:32,73.60604554397807,75.33454028689418,200.0,184.0151138599452,36.55210820701548,8.526046127481948,11.240992000000022,440.3342601944426,配送中心0→客户15→客户16→客户03→客户01→客户05→配送中心0
8,鲜面条,小型4.2m冷藏车,6,365.0,1500.0,0.2433333333333333,03:20,08:00,93.19041152161174,95.24237136804098,200.0,232.9760288040293,42.48974913898331,2.5328250906313152,12.247648000000025,490.246251033644,配送中心0→客户13→客户22→客户27→客户23→客户20→客户08→配送中心0
